show_id,type,title,date_added,release_year,rating,duration,description
s151,Movie,A Billion Colour Story,"April 1, 2018",2016,TV-14,104 min,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
s173,Movie,A Flying Jatt,"November 15, 2017",2016,TV-14,142 min,A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.
s222,Movie,A Scandall,"October 15, 2017",2016,TV-MA,108 min,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter."
s245,Movie,A truthful Mother,"March 31, 2020",2020,TV-Y7,85 min,"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song."
s252,Movie,A Wednesday,"November 1, 2018",2008,TV-MA,103 min,"After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants."
s265,Movie,Aadu 2,"May 15, 2018",2017,TV-MA,150 min,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
s266,Movie,Aagey Se Right,"November 1, 2018",2009,TV-14,117 min,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it."
s267,Movie,Aajcha Divas Majha,"January 1, 2018",2013,TV-PG,126 min,A conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy.
s268,Movie,Aakhri Adaalat,"September 1, 2017",1988,TV-14,148 min,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.
s269,Movie,Aalorukkam,"November 15, 2018",2018,TV-PG,122 min,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
s270,Movie,Aamir,"November 1, 2018",2008,TV-14,95 min,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
s271,Movie,Aapla Manus,"September 10, 2020",2018,TV-14,133 min,"When a man falls from his balcony, an investigator questions the victim’s family, determined to uncover a darker truth behind the alleged accident."
s272,Movie,Aarakshan,"December 31, 2019",2011,TV-14,164 min,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.
s273,Movie,Aashayein,"October 22, 2017",2010,TV-14,115 min,"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancée, snubs doctors and checks into a nursing home to die."
s274,Movie,Aashik Awara,"June 1, 2017",1993,TV-14,154 min,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths."
s275,Movie,Aata Pita,"January 1, 2018",2010,TV-14,133 min,A municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character.
s276,Movie,Aaviri,"December 31, 2019",2019,TV-14,110 min,"After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit."
s278,Movie,Abby Sen,"May 1, 2017",2015,TV-PG,127 min,"After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve."
s279,Movie,ABCD 2,"November 1, 2018",2015,TV-14,146 min,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship."
s280,Movie,ABCD: Any Body Can Dance,"November 1, 2018",2013,TV-14,136 min,"Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest."
s284,Movie,Abhinetri,"May 1, 2018",2016,TV-14,131 min,"Due to family pressure, a corporate man reluctantly marries a woman from the village, but in their new home, she abruptly assumes a different persona."
s301,Movie,Action Replayy,"May 11, 2020",2010,TV-PG,129 min,"Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss."
s313,Movie,Aditi Mittal: Things They Wouldn't Let Me Say,"July 18, 2017",2017,TV-MA,63 min,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings."
s316,Movie,Adrishya,"December 31, 2019",2017,TV-14,99 min,A family’s harmonious existence is interrupted when the young son begins showing symptoms of anxiety that seem linked to disturbing events at home.
s344,Movie,Agneepath,"April 1, 2020",1990,TV-14,174 min,"A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs."
s346,Movie,Agyaat,"October 1, 2018",2009,TV-14,97 min,A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.
s347,Movie,Ahista Ahista,"December 31, 2019",2006,TV-14,122 min,"Stood up by her groom at the altar, a young woman finds help and healing from another man – until her ex-fiancé returns, hoping to win her back."
s354,Movie,Aisa Yeh Jahaan,"October 15, 2017",2015,TV-14,127 min,"During a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature."
s355,Movie,Aitraaz,"March 1, 2018",2004,TV-14,153 min,A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.
s356,Movie,Aiyaary,"May 15, 2018",2018,TV-MA,158 min,"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs."
s357,Movie,Aiyyaa,"July 5, 2020",2012,TV-14,151 min,"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage."
s359,Movie,Ajab Prem Ki Ghazab Kahani,"October 25, 2020",2009,TV-14,150 min,"A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart."
s362,Movie,Ajji,"May 1, 2018",2017,TV-MA,105 min,"When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge."
s363,Movie,AK vs AK,"December 25, 2020",2020,TV-MA,109 min,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time."
s369,Movie,Ala Vaikunthapurramuloo,"February 27, 2020",2020,TV-14,162 min,"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son."
s374,Movie,Albert Pinto Ko Gussa Kyun Aata Hai?,"December 31, 2019",2019,TV-MA,85 min,"As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society."
s392,Movie,Alibaba Aur 40 Chor,"January 15, 2018",1980,TV-14,147 min,A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.
s434,Movie,Alpha and Omega: The Legend of the Saw Tooth Cave,"January 1, 2020",2014,TV-Y7,45 min,"When a wolf pup named Runt sneaks off to explore a mysterious cave, he meets and befriends a wolf driven from her pack because she's blind."
s447,Movie,Amar Akbar Anthony,"December 31, 2019",1977,TV-14,172 min,"Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital."
s481,Movie,Amrapali,"July 1, 2017",1966,TV-PG,116 min,"In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves."
s485,Movie,An American in Madras,"January 1, 2017",2013,TV-PG,80 min,"Extensive film clips and interviews tell the story of American filmmaker Ellis R. Dungan, who spent 15 years in India and helped define Tamil cinema."
s501,Movie,Anaamika,"September 17, 2020",2014,TV-14,130 min,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye."
s502,Movie,Anarkali of Aarah,"August 1, 2017",2017,TV-MA,111 min,"After being sexually harassed by a drunken politician while performing at a public event, a village dancer plots revenge to clear her name."
s508,Movie,Andaz Apna Apna,"May 11, 2020",1994,TV-14,160 min,"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage."
s509,Movie,Andhadhun,"December 16, 2018",2018,TV-14,137 min,A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.
s511,Movie,Andhakaaram,"November 24, 2020",2020,TV-14,171 min,"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
s515,Movie,Angamaly Diaries,"July 1, 2018",2017,TV-14,128 min,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s525,Movie,Angry Indian Goddesses,"March 14, 2017",2015,TV-MA,104 min,"A photographer invites a close-knit group of female pals to her Goa home to announce her engagement, which stirs up a riot of emotion in all of them."
s527,Movie,Ani... Dr. Kashinath Ghanekar,"September 10, 2020",2018,TV-14,157 min,"From his singular career to his personal demons, this biopic chronicles the short yet prolific life of the Marathi dentist-turned-superstar."
s533,Movie,Anjaan,"October 1, 2018",2014,TV-14,146 min,"Mild-mannered Krishna comes to Mumbai to search for his gang-leader brother, and quickly finds himself in way over his head."
s537,Movie,Ankhon Dekhi,"September 28, 2020",2013,TV-PG,104 min,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
s538,Movie,Ankur Arora Murder Case,"October 15, 2017",2013,TV-14,127 min,A young medical intern sets out to fight for justice after the negligence of the surgeon he looked up to ends in tragedy.
s553,Movie,Anthony Kaun Hai?,"July 1, 2018",2006,TV-14,122 min,"A forger uses a fake identity in trying to retrieve stolen diamonds buried in a penitentiary, unaware a mob assassin is on the trail of his phony alias."
s556,Movie,Anwar,"December 31, 2019",2007,TV-14,134 min,"Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy."
s561,Movie,Apaharan,"January 8, 2021",2005,TV-14,161 min,"Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping."
s572,Movie,Arctic Dogs,"May 4, 2020",2019,PG,93 min,"When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic, ambitious delivery fox Swifty assembles a ragtag crew to protect the planet."
s582,Movie,Arjun: The Warrior Prince,"November 1, 2018",2011,TV-14,91 min,This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.
s590,Movie,Article 15,"September 6, 2019",2019,TV-MA,125 min,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
s594,Movie,Ascharyachakit!,"December 19, 2018",2018,TV-MA,90 min,"Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer."
s595,Movie,Asees,"November 1, 2018",2018,TV-14,123 min,"When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land."
s600,Movie,Asoka,"March 15, 2017",2001,R,168 min,This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.
s606,Movie,Asura Guru,"June 13, 2020",2020,TV-14,117 min,"For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist."
s629,Movie,Autohead,"January 1, 2017",2016,TV-MA,97 min,A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject.
s643,Movie,Awe,"February 15, 2019",2018,TV-MA,111 min,"Disparate characters, including an aspiring time traveler, a phony chef, a drug-addicted waitress and several others, share a surprising connection."
s644,Movie,Axone,"June 12, 2020",2020,TV-MA,101 min,"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors."
s645,Movie,Ayana,"February 15, 2019",2017,TV-MA,112 min,"With his carefree bachelor days behind him, a young entrepreneur’s ambitions for adulthood come with some painful personal and professional decisions."
s648,Movie,Azhar,"April 12, 2019",2016,TV-14,129 min,"This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s."
s653,Movie,B.A. Pass,"June 7, 2018",2013,TV-14,99 min,"Orphaned and at loose ends, young Mukesh falls into the seductive orbit of married Sarika, who leads him ever deeper into a world of sex and betrayal."
s654,Movie,B.A. Pass 2,"June 1, 2018",2017,TV-14,126 min,"A young woman eager to avoid an arranged marriage moves to Mumbai, where she learns hard truths about show business, life and love."
s655,Movie,Baadshaho,"October 16, 2017",2017,TV-14,135 min,"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures."
s656,Movie,Baaghi,"August 4, 2018",2016,TV-14,127 min,A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.
s657,Movie,Baahubali 2: The Conclusion (Hindi Version),"August 7, 2017",2017,TV-MA,165 min,"To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Hindi conclusion to the historic saga."
s661,Movie,Baahubali: The Beginning (Hindi Version),"August 7, 2017",2015,TV-14,159 min,Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Hindi version of S.S. Rajamouli's epic.
s664,Movie,Baazaar,"January 13, 2019",2018,TV-MA,136 min,"A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon."
s671,Movie,Baby Dolls,"December 1, 2019",2019,TV-PG,127 min,"When two sisters travel from Canada to Punjab to visit their maternal family, they discover an opportunity to mend a broken bond with their grandmother."
s674,Movie,Bachelor Girls,"March 1, 2018",2016,TV-MA,61 min,"Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai."
s700,Movie,Badha,"January 1, 2018",2006,TV-14,91 min,A young woman who is suspected of practicing black magic and witchcraft is demonized and forced to live apart from her family.
s701,Movie,Badla,"August 7, 2019",2019,TV-14,117 min,"When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
s718,Movie,Bandie,"November 1, 2017",1978,TV-PG,141 min,"Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her."
s720,Movie,Bangistan,"December 15, 2019",2015,TV-14,134 min,"Sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course."
s730,Movie,Barah Aana,"December 31, 2019",2009,TV-14,95 min,"After futile attempts to better their lives with honest work, three broke friends opt for a more dubious means of making money: kidnapping for ransom."
s752,Movie,Bareilly Ki Barfi,"August 21, 2018",2017,TV-14,110 min,"When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection."
s754,Movie,Barfi!,"November 1, 2018",2012,TV-14,144 min,"Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him."
s757,Movie,Barsaat,"April 1, 2018",1995,TV-PG,166 min,"A naïve young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair."
s763,Movie,Bathinda Express,"October 1, 2018",2016,TV-14,118 min,An ambitious young athlete endeavors to revive his floundering running career after falling prey to negative influences.
s771,Movie,Bawarchi,"December 31, 2019",1972,TV-PG,125 min,A dysfunctional middle-class family is transformed by the attentions of their talented new chef – until he vanishes along with their valuable jewels.
s774,Movie,Bazaar,"December 31, 2019",1982,TV-14,121 min,"A young man challenges traditional customs by standing up to the father of the woman he loves, who has promised her to a wealthy expatriate."
s775,Movie,Bbuddah Hoga Terra Baap,"July 5, 2020",2011,TV-14,116 min,"A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job."
s817,Movie,Beiimaan Love,"November 1, 2017",2016,TV-MA,115 min,"After having her heart broken by a man who seduced her at a party, a young, ambitious woman concocts a scheme to get revenge."
s867,Movie,Bewafaa,"July 21, 2019",2005,TV-PG,149 min,"A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else."
s875,Movie,Beyond All Boundaries,"April 1, 2017",2013,TV-14,98 min,"As the 2011 Cricket World Cup begins, three Indians demonstrate their passion and the sacrifices they've made for the country's most popular sport."
s879,Movie,Beyond the Clouds,"August 10, 2018",2018,TV-14,120 min,A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.
s883,Movie,Bhagam Bhag,"December 31, 2019",2006,TV-14,151 min,"A theater group lands in trouble when its new actress takes her own life, two of its members are framed for murder and no one is who they appear to be."
s884,Movie,Bhai: Vyakti Ki Valli - Poorvardha,"September 10, 2020",2019,TV-14,116 min,This first of a two-part biopic depicts the early years that lay the foundation for beloved Marathi writer and comedian P.L. Deshpande’s iconic career.
s885,Movie,Bhai: Vyakti Ki Valli - Uttarardh,"September 10, 2020",2019,TV-PG,112 min,"The second installment of P.L. Deshpande’s biopic explores the Marathi humorist’s political journey, philanthropic endeavors and personal life."
s886,Movie,Bhaji In Problem,"September 19, 2020",2013,TV-14,117 min,Married to two women – each unaware of the other – a man finds his double life threatened when an old friend who knows his not-so-little secret arrives.
s887,Movie,Bhangra Paa Le,"March 1, 2020",2019,TV-14,130 min,"Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own."
s888,Movie,Bhasmasur,"January 29, 2019",2017,TV-14,74 min,"In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey."
s889,Movie,Bhavesh Joshi Superhero,"August 16, 2018",2018,TV-14,150 min,"When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice."
s891,Movie,Bheeshma,"April 25, 2020",2020,TV-14,138 min,"Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace."
s892,Movie,Bhool Bhulaiyaa,"October 22, 2017",2007,TV-14,148 min,"Siddharth dismisses warnings that his palace might be haunted, until ghostly occurrences force him to reconsider his beliefs."
s893,Movie,Bhoot,"December 31, 2019",2003,TV-MA,114 min,"After a couple moves into an apartment, the wife’s increasingly disturbing behavior unravels chilling secrets about their new home’s past."
s894,Movie,Bhouri,"December 1, 2017",2017,TV-14,123 min,A 23-year-old girl who's married to a man more than twice her age is forced to contend with the predatory nature of a male-dominated society.
s927,Movie,Billu,"April 1, 2018",2009,TV-PG,132 min,"An Indian village is abuzz with news that a major movie star is coming to town – even more so because the town barber went to school with him. But as the day of the actor's visit approaches, the humble barber begins to worry he won't be recognized."
s931,Movie,Bilu Rakkhosh,"March 15, 2018",2017,TV-MA,127 min,"Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check."
s933,Movie,Bioscope,"August 15, 2018",2015,TV-14,131 min,"Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films."
s934,Movie,Bir Baba Hindu,"April 28, 2020",2016,TV-MA,107 min,A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.
s944,Movie,Bittoo Boss,"July 5, 2020",2012,TV-14,117 min,"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos – with mixed results."
s945,Movie,Black,"September 19, 2020",2015,TV-14,137 min,"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime."
s951,Movie,Black Friday,"November 19, 2020",2004,TV-MA,162 min,This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
s988,Movie,Blood Money,"July 5, 2020",2012,TV-14,110 min,"Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career."
s1005,Movie,BluffMaster!,"January 8, 2021",2005,TV-14,129 min,"When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity."
s1017,Movie,Bobby,"December 31, 2019",1973,TV-14,168 min,"Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose."
s1018,Movie,Bobby Jasoos,"December 31, 2020",2014,TV-14,116 min,"With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious – and suspicious – stranger."
s1023,Movie,Bodyguard,"November 19, 2020",2011,TV-14,130 min,"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
s1024,Movie,Bogda,"July 16, 2019",2018,TV-PG,161 min,An aspiring dancer accompanies her terminally ill mother on one last road trip that alternately strains and strengthens their knotty relationship.
s1030,Movie,Bollywood Calling,"April 15, 2019",2001,TV-MA,102 min,A down-and-out Hollywood actor is utterly unprepared for the eccentricities that await when an Indian producer offers him a role in a Bollywood film.
s1033,Movie,Bombairiya,"March 15, 2019",2018,TV-MA,108 min,"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways."
s1034,Movie,Bombay Talkies,"July 5, 2020",2013,TV-MA,123 min,"A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish."
s1046,Movie,Boom,"March 1, 2018",2003,TV-MA,79 min,"Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds."
s1060,Movie,Boss,"July 5, 2020",2013,TV-14,139 min,"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help."
s1073,Movie,Brahman Naman,"July 6, 2016",2016,TV-MA,96 min,This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything – except how to talk to women.
s1087,Movie,Break Ke Baad,"November 19, 2020",2010,TV-14,108 min,Childhood friends Abhay and Aaliya experience plenty of obstacles in their paths as they find their way in the world and back to each other.
s1091,Movie,Breaking Free,"December 15, 2017",2015,TV-MA,81 min,One filmmaker’s quest to expose the human rights violations faced by India’s LGBTQ community was a project of passion seven years in the making.
s1105,Movie,Brij Mohan Amar Rahe,"August 4, 2018",2018,TV-MA,100 min,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan – until he was sentenced to death for his own murder.
s1118,Movie,Brothers,"April 1, 2020",2015,TV-14,155 min,"After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament."
s1123,Movie,Bucket List,"November 5, 2018",2018,TV-14,129 min,"After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor."
s1130,Movie,Budhia Singh: Born to Run,"July 5, 2020",2016,TV-MA,95 min,"In this thought-provoking biopic, an idealistic judo trainer adopts a boy from the slums and grooms him into the world's youngest marathon runner."
s1133,Movie,Bulbbul,"June 24, 2020",2020,TV-MA,94 min,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village."
s1134,Movie,Bulbul Can Sing,"January 15, 2020",2018,TV-14,95 min,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy."
s1159,Movie,Bypass Road,"March 15, 2020",2019,TV-14,135 min,"On the night his ex-lover mysteriously dies, a top fashion designer has a serious accident, raising questions on whether the incidents are linked."
s1160,Movie,C Kkompany,"May 31, 2019",2008,TV-14,127 min,"To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities."
s1172,Movie,Calendar Girls,"October 15, 2017",2015,TV-14,126 min,Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.
s1200,Movie,Candyflip,"February 15, 2019",2017,TV-MA,104 min,"On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs."
s1206,Movie,Cappuccino,"July 1, 2018",2017,TV-PG,126 min,"Richi is a director of commercials whose computer memory drive is accidentally switched with that of Sneha, a woman he soon falls in love with."
s1216,Movie,Care of Kancharapalem,"September 6, 2019",2018,TV-14,142 min,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
s1218,Movie,Cargo,"September 9, 2020",2020,TV-14,113 min,"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant."
s1245,Movie,Catching the Sun,"April 22, 2016",2015,TV-14,74 min,This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.
s1255,Movie,Celluloid Man,"April 1, 2017",2012,TV-PG,156 min,"This documentary chronicles the philosophy and life's work of archivist P.K. Nair, who made a mission of preserving Indian cinema’s rich history."
s1258,Movie,Chaahat,"May 1, 2017",1996,TV-14,148 min,A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.
s1259,Movie,Chaar Sahibzaade,"November 1, 2018",2014,TV-PG,126 min,"With a horde of enemy invaders bearing down, four sons of an illustrious Sikh guru lead a tiny but valiant army into a desperate fight for freedom."
s1261,Movie,Chal Bhaag,"December 1, 2018",2014,TV-14,110 min,Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.
s1262,Movie,Chal Dhar Pakad,"March 15, 2018",2010,TV-14,129 min,"After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match."
s1263,Movie,Chal Mere Bhai,"December 31, 2019",2000,TV-14,132 min,"When a secretary saves her tycoon boss's life, his family hears wedding bells. Problem is, she's already in love – with his younger brother."
s1266,Movie,Chalte Chalte,"July 1, 2018",2003,TV-14,166 min,"Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love."
